drink_name,total_orders,avg_wait_min,min_wait_min,max_wait_min,avg_prep_min,avg_idle_min,send_back_pct,p25,median,p75,p90,std
Matcha Latte,482,4.34,1.25,10.0,3.35,0.99,10.58,3.07,4.2,5.33,6.28,1.66
Cold Brew,980,4.27,1.17,10.45,3.26,1.0,0.61,2.98,4.07,5.2,6.29,1.71
Mocha,804,4.26,1.12,10.13,3.3,0.96,1.0,2.95,4.13,5.22,6.18,1.75
Espresso,1031,4.25,1.1,10.45,3.29,0.96,0.68,2.97,4.07,5.2,6.27,1.72
Flat White,716,4.23,1.15,9.6,3.26,0.98,0.7,2.95,4.1,5.17,6.28,1.66
Cappuccino,1466,4.23,1.2,9.98,3.24,1.0,1.02,2.92,4.13,5.18,6.15,1.67
Hot Chocolate,446,4.22,1.17,9.98,3.24,0.97,0.67,3.03,4.01,5.15,6.08,1.61
Americano,978,4.21,1.17,10.42,3.21,1.0,0.72,2.92,4.05,5.22,6.17,1.69
Tea,616,4.19,1.23,10.0,3.21,0.98,0.49,2.88,3.98,5.05,6.33,1.73
Latte,2481,4.15,1.12,10.17,3.2,0.95,0.6,2.88,3.98,5.13,6.08,1.65
